Gen, Patch, NumGrabbers, NumStingers, MaxSpeed, MaxRotation, GrabberPref
0,0,1,0,15.73553,164.0023,0.5
0,0,1,0,36.31587,135.1816,0.5
0,0,1,0,13.74683,122.8572,0.5
0,0,1,0,42.14648,125.3184,0.5
0,0,1,0,29.38204,158.6357,0.5
0,0,1,0,15.18498,109.1358,0.5
0,0,1,0,16.75323,157.6925,0.5
0,0,1,0,14.35741,149.7824,0.5
0,0,1,0,41.2781,144.8091,0.5
0,0,1,0,14.12423,150.0691,0.5
0,0,1,0,23.88804,130.4002,0.5
0,0,1,0,23.923,161.2489,0.5
0,1,1,0,17.78469,161.2019,0.5
0,1,1,0,26.96523,155.4473,0.5
0,1,1,0,48.37469,174.5486,0.5
0,1,1,0,37.9272,136.6869,0.5
0,1,1,0,39.05698,129.501,0.5
0,1,1,0,18.30063,108.3359,0.5
0,1,1,0,48.10284,177.506,0.5
0,1,1,0,40.87576,156.4565,0.5
0,1,1,0,16.76044,167.7128,0.5
0,1,1,0,32.30099,142.4281,0.5
0,1,1,0,29.61673,164.7465,0.5
0,1,1,0,35.4959,131.3607,0.5
0,2,1,0,47.16055,125.5082,0.5
0,2,1,0,28.04328,164.1437,0.5
0,2,1,0,40.64721,138.6521,0.5
0,2,1,0,49.28007,121.5164,0.5
0,2,1,0,20.03074,123.9265,0.5
0,2,1,0,22.44617,146.4157,0.5
0,2,1,0,38.44692,109.1978,0.5
0,2,1,0,16.53394,114.9058,0.5
0,2,1,0,15.97365,159.6235,0.5
0,2,1,0,19.33539,153.0916,0.5
0,2,1,0,30.48156,111.0203,0.5
0,2,1,0,35.10879,163.7506,0.5
0,3,1,0,25.5984,154.6664,0.5
0,3,1,0,22.22903,101.1917,0.5
0,3,1,0,36.94424,145.8873,0.5
0,3,1,0,33.78891,128.7981,0.5
0,3,1,0,36.87033,136.7542,0.5
0,3,1,0,20.51686,97.61083,0.5
0,3,1,0,11.03981,159.7207,0.5
0,3,1,0,43.04181,157.0782,0.5
0,3,1,0,12.44961,165.9143,0.5
0,3,1,0,15.94343,119.4743,0.5
0,3,1,0,24.21881,142.4702,0.5
0,3,1,0,45.57494,130.5744,0.5
0,4,1,0,41.33409,106.1946,0.5
0,4,1,0,11.84406,134.1055,0.5
0,4,1,0,35.58223,174.8728,0.5
0,4,1,0,11.90673,156.1166,0.5
0,4,1,0,15.29431,148.31,0.5
0,4,1,0,49.13868,129.5017,0.5
0,4,1,0,31.44598,92.99448,0.5
0,4,1,0,36.79768,136.3277,0.5
0,4,1,0,40.66462,143.2075,0.5
0,4,1,0,13.06253,140.712,0.5
0,4,1,0,15.36313,168.6784,0.5
0,4,1,0,35.17188,163.963,0.5
0,5,1,0,41.03265,146.7445,0.5
0,5,1,0,14.0876,179.1032,0.5
0,5,1,0,20.95052,171.0747,0.5
0,5,1,0,17.76237,106.9262,0.5
0,5,1,0,40.77263,90.40149,0.5
0,5,1,0,20.85094,173.8326,0.5
0,5,1,0,17.89621,102.6494,0.5
0,5,1,0,35.54702,134.5357,0.5
0,5,1,0,23.69825,103.6657,0.5
0,5,1,0,16.96767,113.4875,0.5
0,5,1,0,28.45155,136.5689,0.5
0,5,1,0,14.53503,98.04503,0.5
0,6,1,0,28.7199,176.1692,0.5
0,6,1,0,33.45961,170.5658,0.5
0,6,1,0,32.62664,128.683,0.5
0,6,1,0,14.31792,164.3824,0.5
0,6,1,0,28.28732,149.7852,0.5
0,6,1,0,21.39639,99.62451,0.5
0,6,1,0,46.87464,92.46145,0.5
0,6,1,0,23.51774,123.9999,0.5
0,6,1,0,13.08582,177.5289,0.5
0,6,1,0,40.63897,152.7686,0.5
0,6,1,0,31.64315,121.265,0.5
0,6,1,0,13.68468,144.4686,0.5
0,7,1,0,21.00471,173.9709,0.5
0,7,1,0,25.35697,161.7322,0.5
0,7,1,0,23.36563,138.5857,0.5
0,7,1,0,14.97917,119.0576,0.5
0,7,1,0,25.9929,126.5564,0.5
0,7,1,0,18.20802,93.59587,0.5
0,7,1,0,31.4262,178.6592,0.5
0,7,1,0,42.52116,113.0459,0.5
0,7,1,0,37.3503,102.5498,0.5
0,7,1,0,49.63371,116.9881,0.5
0,7,1,0,14.67009,109.9014,0.5
0,7,1,0,32.4184,142.5452,0.5
0,8,1,0,19.6451,150.2887,0.5
0,8,1,0,35.5663,161.2076,0.5
0,8,1,0,37.05642,164.6087,0.5
0,8,1,0,48.79727,131.52,0.5
0,8,1,0,15.60372,154.3839,0.5
0,8,1,0,19.62111,163.496,0.5
0,8,1,0,43.30888,90.81637,0.5
0,8,1,0,13.307,114.1645,0.5
0,8,1,0,13.0128,179.7327,0.5
0,8,1,0,48.27742,145.7424,0.5
0,8,1,0,49.79212,167.8238,0.5
0,8,1,0,15.27769,162.5449,0.5
0,9,1,0,31.51591,140.9132,0.5
0,9,1,0,32.17787,172.8137,0.5
0,9,1,0,21.52112,150.7538,0.5
0,9,1,0,11.04216,99.46069,0.5
0,9,1,0,32.27442,127.7836,0.5
0,9,1,0,21.77357,106.9097,0.5
0,9,1,0,14.00744,116.939,0.5
0,9,1,0,13.99308,114.1663,0.5
0,9,1,0,20.98917,147.6882,0.5
0,9,1,0,33.87906,130.8087,0.5
0,9,1,0,46.83323,136.5924,0.5
0,9,1,0,23.39553,100.6271,0.5
1,0,1,0,35.4959,170.8491,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,0,1,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,0,1,0,35.4959,131.3607,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,1,1,0,14.53503,98.04503,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.07601894
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,2,1,0,37.9272,136.6869,0.5
1,3,1,0,39.05698,129.501,0.5
1,3,1,0,39.05698,129.501,0.5
1,3,1,1,39.05698,129.501,0.5
