Gen, Patch, NumGrabbers, NumStingers, MaxSpeed, MaxRotation, GrabberPref
0,0,1,0,41.96416,152.9261,0.5
0,0,1,0,44.78518,97.12288,0.5
0,0,1,0,30.76361,157.3639,0.5
0,0,1,0,48.84288,143.1487,0.5
0,0,1,0,38.86404,154.8213,0.5
0,0,1,0,16.94881,90.17879,0.5
0,0,1,0,12.0449,177.3359,0.5
0,0,1,0,23.98978,135.6269,0.5
0,0,1,0,23.12271,123.1466,0.5
0,0,1,0,15.8257,149.4942,0.5
0,0,1,0,19.165,117.4237,0.5
0,0,1,0,36.15255,104.4685,0.5
0,1,1,0,19.92839,102.2536,0.5
0,1,1,0,28.57434,120.8541,0.5
0,1,1,0,41.53479,121.0133,0.5
0,1,1,0,35.31231,97.82121,0.5
0,1,1,0,23.69345,123.4703,0.5
0,1,1,0,15.28855,169.3038,0.5
0,1,1,0,38.60078,141.0187,0.5
0,1,1,0,36.29263,99.24888,0.5
0,1,1,0,27.35422,142.7722,0.5
0,1,1,0,33.82983,138.6084,0.5
0,1,1,0,29.79928,124.9792,0.5
0,1,1,0,47.58669,90.51817,0.5
0,2,1,0,36.03989,151.4402,0.5
0,2,1,0,17.2676,151.3144,0.5
0,2,1,0,43.78948,158.3413,0.5
0,2,1,0,17.26399,124.7757,0.5
0,2,1,0,16.30814,141.8466,0.5
0,2,1,0,31.07525,169.8483,0.5
0,2,1,0,43.12325,152.1648,0.5
0,2,1,0,34.44284,105.1201,0.5
0,2,1,0,46.14753,94.89941,0.5
0,2,1,0,18.96879,146.2774,0.5
0,2,1,0,11.45858,170.3335,0.5
0,2,1,0,20.79686,130.3904,0.5
0,3,1,0,35.71072,120.6219,0.5
0,3,1,0,13.63442,110.5814,0.5
0,3,1,0,12.03663,166.7626,0.5
0,3,1,0,25.41844,130.2628,0.5
0,3,1,0,25.753,103.2301,0.5
0,3,1,0,42.29904,132.8391,0.5
0,3,1,0,36.26245,144.0847,0.5
0,3,1,0,40.93314,158.5217,0.5
0,3,1,0,46.94197,93.71719,0.5
0,3,1,0,44.47883,96.62356,0.5
0,3,1,0,20.46245,119.4954,0.5
0,3,1,0,13.84398,103.5945,0.5
0,4,1,0,13.7266,141.1359,0.5
0,4,1,0,21.23111,131.983,0.5
0,4,1,0,40.99063,113.7004,0.5
0,4,1,0,30.61771,94.02972,0.5
0,4,1,0,48.46268,118.9316,0.5
0,4,1,0,33.29801,107.5179,0.5
0,4,1,0,24.68701,168.678,0.5
0,4,1,0,14.25665,169.6169,0.5
0,4,1,0,23.48614,119.2059,0.5
0,4,1,0,21.44184,114.9451,0.5
0,4,1,0,11.2254,93.27255,0.5
0,4,1,0,47.02475,151.9014,0.5
0,5,1,0,39.31178,120.8461,0.5
0,5,1,0,11.72295,153.8499,0.5
0,5,1,0,28.38231,102.3235,0.5
0,5,1,0,31.40511,133.6264,0.5
0,5,1,0,21.27744,168.7699,0.5
0,5,1,0,21.77931,137.0724,0.5
0,5,1,0,21.80227,178.4173,0.5
0,5,1,0,15.89372,154.7327,0.5
0,5,1,0,12.08889,169.5503,0.5
0,5,1,0,20.93372,140.1951,0.5
0,5,1,0,41.77173,166.4569,0.5
0,5,1,0,35.98381,152.6189,0.5
0,6,1,0,36.33822,156.1831,0.5
0,6,1,0,35.29171,127.7491,0.5
0,6,1,0,47.01511,108.1542,0.5
0,6,1,0,41.19315,156.5373,0.5
0,6,1,0,31.89172,143.0101,0.5
0,6,1,0,47.57311,168.8251,0.5
0,6,1,0,43.72282,137.3148,0.5
0,6,1,0,35.90338,99.33876,0.5
0,6,1,0,36.74841,133.2222,0.5
0,6,1,0,41.94878,149.9751,0.5
0,6,1,0,34.18153,129.8696,0.5
0,6,1,0,19.29371,110.5155,0.5
0,7,1,0,14.03517,142.6086,0.5
0,7,1,0,40.30432,141.5196,0.5
0,7,1,0,27.72408,156.1424,0.5
0,7,1,0,48.4779,154.9877,0.5
0,7,1,0,35.81882,177.8758,0.5
